Date : 2024-03-16 00:48:39
Directory : c:\xampp\htdocs\fd\resources\js
Total : 178 files,  17939 codes, 3692 comments, 1695 blanks, all 23326 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\light.js                        | JavaScript |         64 |         54 |         17 |        135 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\Core.js                             | JavaScript |        253 |        230 |         58 |        541 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\animations.js                       | JavaScript |        441 |         45 |          7 |        493 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication.js                    | JavaScript |         70 |        100 |          5 |        175 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication_funcs\core.js         | JavaScript |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication_funcs\desktop.js      | JavaScript |        113 |          1 |          1 |        115 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication_funcs\mobile.js       | JavaScript |        114 |          1 |          1 |        116 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\light.js                            | JavaScript |         81 |         55 |         18 |        154 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\model\LighterModel.js                     | JavaScript |        164 |          4 |          5 |        173 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\model\LighterThumbnail.js                 | JavaScript |         95 |          2 |         15 |        112 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\project\Core.js                           | JavaScript |        221 |         47 |         21 |        289 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\project\communication.js                  | JavaScript |        171 |          1 |         20 |        192 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\project\light.js                          | JavaScript |         73 |         53 |         18 |        144 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\setup.js                                  | JavaScript |         95 |          5 |          6 |        106 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\module_3D_init.js                                 | JavaScript |         75 |         11 |         10 |         96 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\Designs\AdminProjectList.js                            | JavaScript |        440 |         22 |         19 |        481 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\Eventhandler.js                                        | JavaScript |         43 |          4 |          6 |         53 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminChartTemplate.js                           | JavaScript |         17 |          5 |          4 |         26 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminLogin.js                                   | JavaScript |         65 |          0 |          2 |         67 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminNavigation.js                              | JavaScript |         66 |          1 |          3 |         70 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminPaths.js                                   | JavaScript |         18 |          0 |          5 |         23 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\assets\AdminTemplate.js                                | JavaScript |         36 |          0 |          3 |         39 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\order\orderDetails.js                                  | JavaScript |        224 |         11 |         26 |        261 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\order\orderList.js                                     | JavaScript |        249 |         26 |          8 |        283 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_couponCodes.js                             | JavaScript |         75 |          2 |          9 |         86 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_designs.js                                 | JavaScript |         26 |          0 |          0 |         26 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_engraving.js                               | JavaScript |         19 |          1 |          3 |         23 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_index.js                                   | JavaScript |         22 |          0 |          3 |         25 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_login.js                                   | JavaScript |        133 |          2 |          8 |        143 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_orders.js                                  | JavaScript |         45 |          1 |          2 |         48 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_products.js                                | JavaScript |        279 |          7 |         26 |        312 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_statistics.js                              | JavaScript |         46 |          6 |          7 |         59 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_stripe.js                                  | JavaScript |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_stripeSuccess.js                           | JavaScript |         11 |         25 |          4 |         40 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_testSpace.js                               | JavaScript |         53 |          5 |          7 |         65 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\pages\ADMIN_userAccounts.js                            | JavaScript |          5 |          2 |          1 |          8 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\products\productColorMenu.js                           | JavaScript |         74 |          3 |          8 |         85 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\products\productEPTypeMenu.js                          | JavaScript |         74 |          3 |          8 |         85 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\products\productList.js                                | JavaScript |         93 |         12 |          7 |        112 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\statistics\statisticsHelper.js                         | JavaScript |         64 |          0 |          1 |         65 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\c_test.js                                    | JavaScript |         17 |          0 |          1 |         18 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\imap.js                                      | JavaScript |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\main.js                                      | JavaScript |         52 |         34 |          7 |         93 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\stripe\stripeMain.js                         | JavaScript |          5 |          0 |          3 |          8 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\test_chartJS.js                              | JavaScript |         49 |          2 |          2 |         53 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\test_moonraker.js                            | JavaScript |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\fd\resources\js\ADMIN\testspace\test_nesting.js                              | JavaScript |         84 |         20 |         11 |        115 |
| c:\xampp\htdocs\fd\resources\js\Checkout\Checkout.js                                         | JavaScript |        295 |          3 |         23 |        321 |
| c:\xampp\htdocs\fd\resources\js\Checkout\CheckoutHelper.js                                   | JavaScript |        103 |        102 |         24 |        229 |
| c:\xampp\htdocs\fd\resources\js\Checkout\CheckoutRight.js                                    | JavaScript |        127 |         10 |         15 |        152 |
| c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawCheckoutHead.js                        | JavaScript |         79 |          2 |         11 |         92 |
| c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawFastCheckout.js                        | JavaScript |          9 |          0 |          0 |          9 |
| c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawMobileProductOverview.js               | JavaScript |         46 |         11 |          5 |         62 |
| c:\xampp\htdocs\fd\resources\js\Checkout\elements\drawSavedInformation.js                    | JavaScript |        138 |          3 |         21 |        162 |
| c:\xampp\htdocs\fd\resources\js\Codes\CouponCodes.js                                         | JavaScript |         46 |          0 |          4 |         50 |
| c:\xampp\htdocs\fd\resources\js\Converter\Converter.js                                       | JavaScript |        139 |          8 |         18 |        165 |
| c:\xampp\htdocs\fd\resources\js\Converter\ConverterCloseButtons.js                           | JavaScript |        198 |          8 |         11 |        217 |
| c:\xampp\htdocs\fd\resources\js\Converter\ConverterHelper.js                                 | JavaScript |        121 |         20 |          8 |        149 |
| c:\xampp\htdocs\fd\resources\js\Converter\Converter_LeftBar.js                               | JavaScript |         91 |          4 |          8 |        103 |
| c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\C_Image.js                             | JavaScript |         61 |          5 |          3 |         69 |
| c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\C_Text.js                              | JavaScript |         49 |          0 |          2 |         51 |
| c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSController.js                        | JavaScript |         55 |          1 |          2 |         58 |
| c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSImage.js                             | JavaScript |        112 |          0 |          1 |        113 |
| c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSProject.js                           | JavaScript |         80 |          8 |          4 |         92 |
| c:\xampp\htdocs\fd\resources\js\Converter\DataStorage\DSText.js                              | JavaScript |         95 |          3 |          3 |        101 |
| c:\xampp\htdocs\fd\resources\js\Converter\DragAndDrop.js                                     | JavaScript |          0 |         38 |          7 |         45 |
| c:\xampp\htdocs\fd\resources\js\Converter\drawElements\drawDesktop.js                        | JavaScript |         20 |          2 |          6 |         28 |
| c:\xampp\htdocs\fd\resources\js\Converter\drawElements\drawMobile.js                         | JavaScript |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterEvents.js                        | JavaScript |        132 |         17 |          4 |        153 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterRender.js                        | JavaScript |        712 |         42 |         34 |        788 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterRenderWorker.js                  | JavaScript |         30 |          4 |          4 |         38 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\ConverterTouchEvents.js                   | JavaScript |        139 |         24 |          3 |        166 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\handler\ConverterKeyHandler.js            | JavaScript |         37 |          0 |          1 |         38 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\handler\ConverterMouseHandler.js          | JavaScript |         31 |          0 |          2 |         33 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\handler\ConverterTouchHandler.js          | JavaScript |         70 |         14 |          2 |         86 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\CanvasPaths.js                     | JavaScript |        268 |         28 |         26 |        322 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\ConverterComputeEdges.js           | JavaScript |        166 |         14 |          9 |        189 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\ConverterDrawHelper.js             | JavaScript |         34 |         30 |          6 |         70 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\lines\ConverterLine.js             | JavaScript |         60 |         10 |          7 |         77 |
| c:\xampp\htdocs\fd\resources\js\Converter\renderer\helper\lines\ConverterLinesHelper.js      | JavaScript |         29 |          5 |          2 |         36 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\adminBar.js                                | JavaScript |        408 |          9 |         53 |        470 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\bottomBar.js                        | JavaScript |         59 |         10 |          1 |         70 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\bottomBarDraw.js                    | JavaScript |         36 |          0 |          3 |         39 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarImage.js              | JavaScript |        115 |         17 |         12 |        144 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarStandard.js           | JavaScript |        155 |          9 |          9 |        173 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarText.js               | JavaScript |         91 |          9 |         13 |        113 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarTextButtons.js        | JavaScript |        109 |          0 |         13 |        122 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarTextFontFamilyMenu.js | JavaScript |         44 |          0 |          5 |         49 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\helper.js                      | JavaScript |         53 |         23 |          9 |         85 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\drawParts\ImageParts.js                    | JavaScript |         68 |          0 |          0 |         68 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\drawParts\TextParts.js                     | JavaScript |         77 |         14 |         10 |        101 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\LighterSettings.js                    | JavaScript |        132 |          1 |         13 |        146 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\image\ImageElement_desktop.js         | JavaScript |        200 |         12 |         17 |        229 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\image\toolBarImage.js                 | JavaScript |         97 |          1 |          4 |        102 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\sideBar.js                            | JavaScript |         65 |          0 |          2 |         67 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\TextElement_desktop copy.js      | JavaScript |        280 |         10 |         28 |        318 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\TextElement_desktop.js           | JavaScript |          0 |        265 |         30 |        295 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\toolBarText.js                   | JavaScript |         79 |          1 |          4 |         84 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\toolBar.js                                 | JavaScript |         39 |          2 |          4 |         45 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\tools\ImageTools.js                        | JavaScript |         23 |          0 |          2 |         25 |
| c:\xampp\htdocs\fd\resources\js\Converter\toolBar\tools\TextTools.js                         | JavaScript |         46 |          3 |          1 |         50 |
| c:\xampp\htdocs\fd\resources\js\Converter\worker\_ConverterWorker.js                         | JavaScript |         38 |         48 |         11 |         97 |
| c:\xampp\htdocs\fd\resources\js\Converter\worker\_ConverterWorkerHelper.js                   | JavaScript |         69 |         11 |          9 |         89 |
| c:\xampp\htdocs\fd\resources\js\Designs\CategoryHelper.js                                    | JavaScript |         24 |          0 |          0 |         24 |
| c:\xampp\htdocs\fd\resources\js\Designs\DesignHelper.js                                      | JavaScript |         82 |          0 |          4 |         86 |
| c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageHelper.js                             | JavaScript |         58 |          1 |          4 |         63 |
| c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenu.js                               | JavaScript |        208 |         27 |         20 |        255 |
| c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenuFilter.js                         | JavaScript |         37 |          0 |          2 |         39 |
| c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\Unsplash.js                                | JavaScript |        142 |         15 |          6 |        163 |
| c:\xampp\htdocs\fd\resources\js\Email\Email.js                                               | JavaScript |         17 |          0 |          1 |         18 |
| c:\xampp\htdocs\fd\resources\js\Eventhandler.js                                              | JavaScript |         92 |          2 |          6 |        100 |
| c:\xampp\htdocs\fd\resources\js\Footer.js                                                    | JavaScript |         80 |          0 |          3 |         83 |
| c:\xampp\htdocs\fd\resources\js\GLOBAL\Paths.js                                              | JavaScript |         95 |          6 |         33 |        134 |
| c:\xampp\htdocs\fd\resources\js\Helper\ProjectsHelper.js                                     | JavaScript |        140 |          1 |          4 |        145 |
| c:\xampp\htdocs\fd\resources\js\Helper\ProjectsHelperDesign.js                               | JavaScript |         48 |          0 |          1 |         49 |
| c:\xampp\htdocs\fd\resources\js\Login\LoginHelper.js                                         | JavaScript |         67 |         25 |          8 |        100 |
| c:\xampp\htdocs\fd\resources\js\NavigationBar.js                                             | JavaScript |        123 |          3 |          6 |        132 |
| c:\xampp\htdocs\fd\resources\js\Orders\Order.js                                              | JavaScript |         95 |          0 |          6 |        101 |
| c:\xampp\htdocs\fd\resources\js\Pages\cart\cart.js                                           | JavaScript |         21 |          6 |          4 |         31 |
| c:\xampp\htdocs\fd\resources\js\Pages\cart\cartList.js                                       | JavaScript |        118 |         33 |         15 |        166 |
| c:\xampp\htdocs\fd\resources\js\Pages\cart\cartRight.js                                      | JavaScript |         63 |          4 |          7 |         74 |
| c:\xampp\htdocs\fd\resources\js\Pages\converterStart.js                                      | JavaScript |         19 |          5 |          1 |         25 |
| c:\xampp\htdocs\fd\resources\js\Pages\imprint.js                                             | JavaScript |         36 |          1 |          6 |         43 |
| c:\xampp\htdocs\fd\resources\js\Pages\index\index.js                                         | JavaScript |         58 |         12 |         14 |         84 |
| c:\xampp\htdocs\fd\resources\js\Pages\index\overlay.js                                       | JavaScript |        292 |         11 |         11 |        314 |
| c:\xampp\htdocs\fd\resources\js\Pages\pagesTemplate.js                                       | JavaScript |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\fd\resources\js\Pages\paymentComplete\paymentComplete.js                     | JavaScript |         30 |          7 |          4 |         41 |
| c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\Details\ProjectDetailsDesktop.js        | JavaScript |        332 |         30 |         40 |        402 |
| c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\Details\ProjectDetailsHelper.js         | JavaScript |        109 |          3 |          7 |        119 |
| c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\Details\ProjectDetailsMobile.js         | JavaScript |        169 |         49 |         24 |        242 |
| c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectCategoryMenu.js                  | JavaScript |        129 |         46 |          5 |        180 |
| c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectChoiceMenu.js                    | JavaScript |        259 |         20 |         21 |        300 |
| c:\xampp\htdocs\fd\resources\js\Projects\ProjectList\ProjectDetails.js                       | JavaScript |         26 |          0 |          1 |         27 |
